deal_id,deal_amount,outcome,risk_score,win_probability,industry,sales_rep_id,cycle_bucket,risk_tier
D00071,97304,Won,54.9,45.1,FinTech,rep_14,Very Long (90-120d),Medium Risk
D00072,60319,Won,55.8,44.2,Ecommerce,rep_10,Very Long (90-120d),High Risk
D00073,16847,Lost,55.2,44.8,FinTech,rep_20,Medium (30-60d),High Risk
D00074,95392,Won,55.9,44.1,EdTech,rep_25,Medium (30-60d),High Risk
D00075,10973,Won,54.3,45.7,Ecommerce,rep_3,Long (60-90d),Medium Risk
D00076,73955,Won,55.5,44.5,Ecommerce,rep_10,Very Long (90-120d),High Risk
D00077,20150,Won,55.6,44.4,Ecommerce,rep_15,Medium (30-60d),High Risk
D00078,8845,Lost,54.8,45.2,EdTech,rep_5,Very Long (90-120d),Medium Risk
D00079,11920,Lost,53.3,46.7,SaaS,rep_1,Fast (0-30d),Medium Risk
D00080,18612,Lost,54.0,46.0,EdTech,rep_17,Fast (0-30d),Medium Risk
D00081,98561,Lost,54.5,45.5,EdTech,rep_3,Long (60-90d),Medium Risk
D00082,96011,Won,53.5,46.5,Ecommerce,rep_5,Fast (0-30d),Medium Risk
D00083,44727,Lost,54.2,45.8,Ecommerce,rep_19,Very Long (90-120d),Medium Risk
D00084,14325,Lost,55.3,44.7,SaaS,rep_5,Very Long (90-120d),High Risk
D00085,19836,Lost,54.1,45.9,Ecommerce,rep_3,Long (60-90d),Medium Risk
D00086,16742,Lost,54.3,45.7,FinTech,rep_18,Fast (0-30d),Medium Risk
D00087,18383,Won,55.5,44.5,EdTech,rep_23,Very Long (90-120d),High Risk
D00088,5070,Won,53.7,46.3,SaaS,rep_14,Fast (0-30d),Medium Risk
D00089,19192,Lost,54.7,45.3,HealthTech,rep_5,Long (60-90d),Medium Risk
D00090,5811,Lost,56.1,43.9,EdTech,rep_15,Medium (30-60d),High Risk
D00091,11263,Lost,55.3,44.7,Ecommerce,rep_8,Medium (30-60d),High Risk
D00092,7392,Won,56.0,44.0,FinTech,rep_22,Medium (30-60d),High Risk
D00093,52850,Won,53.1,46.9,FinTech,rep_21,Very Long (90-120d),Medium Risk
D00094,9476,Won,55.4,44.6,HealthTech,rep_6,Long (60-90d),High Risk
D00095,12210,Lost,54.7,45.3,Ecommerce,rep_4,Long (60-90d),Medium Risk
D00096,5255,Lost,55.1,44.9,EdTech,rep_1,Very Long (90-120d),High Risk
D00097,6788,Lost,54.1,45.9,FinTech,rep_16,Very Long (90-120d),Medium Risk
D00098,59608,Lost,53.6,46.4,HealthTech,rep_4,Fast (0-30d),Medium Risk
D00099,10222,Won,54.9,45.1,SaaS,rep_22,Fast (0-30d),Medium Risk
D00100,18086,Won,55.5,44.5,EdTech,rep_23,Long (60-90d),High Risk
D00101,91364,Won,54.8,45.2,Ecommerce,rep_2,Very Long (90-120d),Medium Risk
D00102,7429,Lost,55.2,44.8,HealthTech,rep_11,Very Long (90-120d),High Risk
D00103,3697,Lost,55.2,44.8,HealthTech,rep_25,Very Long (90-120d),High Risk
D00104,3429,Won,54.5,45.5,HealthTech,rep_12,Long (60-90d),Medium Risk
D00105,34896,Won,53.5,46.5,Ecommerce,rep_16,Fast (0-30d),Medium Risk
D00106,8710,Won,52.7,47.3,FinTech,rep_21,Long (60-90d),Medium Risk
D00107,7835,Won,55.0,45.0,HealthTech,rep_20,Very Long (90-120d),Medium Risk
D00108,69925,Lost,55.1,44.9,Ecommerce,rep_10,Long (60-90d),High Risk
D00109,19810,Lost,53.8,46.2,Ecommerce,rep_8,Long (60-90d),Medium Risk
D00110,13120,Won,56.2,43.8,Ecommerce,rep_22,Very Long (90-120d),High Risk
D00111,5052,Won,55.5,44.5,SaaS,rep_18,Long (60-90d),High Risk
D00112,19813,Lost,56.0,44.0,EdTech,rep_10,Medium (30-60d),High Risk
D00113,13736,Lost,55.5,44.5,EdTech,rep_25,Very Long (90-120d),High Risk
D00114,8474,Lost,54.9,45.1,EdTech,rep_11,Very Long (90-120d),Medium Risk
D00115,3162,Won,56.0,44.0,Ecommerce,rep_7,Very Long (90-120d),High Risk
D00116,4657,Won,55.7,44.3,HealthTech,rep_5,Medium (30-60d),High Risk
D00117,17946,Lost,55.7,44.3,SaaS,rep_7,Long (60-90d),High Risk
D00118,89066,Lost,55.2,44.8,HealthTech,rep_2,Medium (30-60d),High Risk
D00119,10248,Won,54.9,45.1,FinTech,rep_4,Medium (30-60d),Medium Risk
D00120,85570,Won,53.1,46.9,Ecommerce,rep_3,Fast (0-30d),Medium Risk
D00121,15033,Lost,53.9,46.1,FinTech,rep_10,Fast (0-30d),Medium Risk
D00122,5769,Lost,54.8,45.2,HealthTech,rep_4,Very Long (90-120d),Medium Risk
D00123,13562,Won,53.0,47.0,SaaS,rep_3,Fast (0-30d),Medium Risk
D00124,7287,Won,55.5,44.5,HealthTech,rep_9,Medium (30-60d),High Risk
D00125,18288,Lost,55.0,45.0,SaaS,rep_25,Very Long (90-120d),Medium Risk
D00126,9118,Won,54.9,45.1,SaaS,rep_9,Long (60-90d),Medium Risk
D00127,2466,Lost,54.6,45.4,SaaS,rep_20,Long (60-90d),Medium Risk
D00128,13267,Lost,54.5,45.5,FinTech,rep_5,Very Long (90-120d),Medium Risk
D00129,52472,Lost,53.8,46.2,SaaS,rep_15,Fast (0-30d),Medium Risk
D00130,4771,Won,55.1,44.9,EdTech,rep_3,Medium (30-60d),High Risk
D00131,17874,Lost,55.2,44.8,HealthTech,rep_19,Medium (30-60d),High Risk
D00132,13072,Lost,54.6,45.4,SaaS,rep_5,Long (60-90d),Medium Risk
D00133,10953,Won,56.0,44.0,HealthTech,rep_7,Medium (30-60d),High Risk
D00134,6158,Lost,55.1,44.9,SaaS,rep_25,Very Long (90-120d),High Risk
D00135,41697,Won,53.2,46.8,Ecommerce,rep_2,Fast (0-30d),Medium Risk
D00136,5677,Won,54.4,45.6,HealthTech,rep_16,Long (60-90d),Medium Risk
D00137,16239,Won,55.8,44.2,SaaS,rep_7,Very Long (90-120d),High Risk
D00138,6542,Lost,54.4,45.6,HealthTech,rep_3,Long (60-90d),Medium Risk
D00139,3818,Won,54.3,45.7,Ecommerce,rep_2,Long (60-90d),Medium Risk
D00140,4610,Won,55.2,44.8,EdTech,rep_2,Medium (30-60d),High Risk
D00141,7040,Lost,56.3,43.7,HealthTech,rep_7,Very Long (90-120d),High Risk
D00142,3953,Won,55.3,44.7,SaaS,rep_16,Medium (30-60d),High Risk
D00143,2012,Won,54.0,46.0,HealthTech,rep_14,Fast (0-30d),Medium Risk
D00144,17079,Lost,54.2,45.8,Ecommerce,rep_2,Long (60-90d),Medium Risk
D00145,33587,Won,54.8,45.2,FinTech,rep_5,Very Long (90-120d),Medium Risk
D00146,82722,Won,54.3,45.7,FinTech,rep_5,Long (60-90d),Medium Risk
D00147,60642,Lost,54.5,45.5,Ecommerce,rep_18,Fast (0-30d),Medium Risk
D00148,18743,Lost,55.1,44.9,Ecommerce,rep_12,Medium (30-60d),High Risk
D00149,19338,Lost,54.9,45.1,FinTech,rep_9,Medium (30-60d),Medium Risk
D00150,4406,Won,56.5,43.5,EdTech,rep_22,Very Long (90-120d),High Risk
D00151,66210,Won,54.6,45.4,FinTech,rep_9,Very Long (90-120d),Medium Risk
D00152,7565,Lost,55.7,44.3,Ecommerce,rep_22,Long (60-90d),High Risk
D00153,4966,Lost,54.7,45.3,Ecommerce,rep_5,Very Long (90-120d),Medium Risk
D00154,14012,Lost,52.6,47.4,FinTech,rep_8,Fast (0-30d),Medium Risk
D00155,9929,Won,55.4,44.6,SaaS,rep_7,Long (60-90d),High Risk
D00156,42630,Won,52.9,47.1,EdTech,rep_3,Fast (0-30d),Medium Risk
D00157,10580,Won,53.4,46.6,FinTech,rep_8,Long (60-90d),Medium Risk
D00158,17376,Won,54.6,45.4,SaaS,rep_5,Long (60-90d),Medium Risk
D00159,73665,Lost,55.5,44.5,EdTech,rep_5,Very Long (90-120d),High Risk
D00160,6516,Won,54.9,45.1,SaaS,rep_14,Long (60-90d),Medium Risk
D00161,65353,Won,53.6,46.4,EdTech,rep_3,Fast (0-30d),Medium Risk
D00162,85873,Won,54.2,45.8,SaaS,rep_19,Long (60-90d),Medium Risk
D00163,25958,Won,54.6,45.4,HealthTech,rep_9,Long (60-90d),Medium Risk
D00164,18517,Lost,56.2,43.8,Ecommerce,rep_22,Very Long (90-120d),High Risk
D00165,5404,Won,53.6,46.4,HealthTech,rep_20,Fast (0-30d),Medium Risk
D00166,68567,Won,54.7,45.3,EdTech,rep_4,Very Long (90-120d),Medium Risk
D00167,8829,Won,55.1,44.9,HealthTech,rep_14,Long (60-90d),High Risk
D00168,15648,Won,54.4,45.6,FinTech,rep_1,Very Long (90-120d),Medium Risk
D00169,8828,Lost,53.7,46.3,Ecommerce,rep_21,Medium (30-60d),Medium Risk
D00170,19919,Won,53.5,46.5,Ecommerce,rep_2,Fast (0-30d),Medium Risk
D00171,79028,Won,54.3,45.7,SaaS,rep_20,Long (60-90d),Medium Risk
D00172,4777,Lost,54.8,45.2,SaaS,rep_20,Medium (30-60d),Medium Risk
D00173,15761,Won,53.3,46.7,SaaS,rep_20,Fast (0-30d),Medium Risk
D00174,64089,Lost,56.2,43.8,Ecommerce,rep_18,Medium (30-60d),High Risk
D00175,60327,Lost,55.4,44.6,Ecommerce,rep_20,Medium (30-60d),High Risk
D00176,3396,Lost,53.2,46.8,SaaS,rep_2,Fast (0-30d),Medium Risk
D00177,19313,Won,55.0,45.0,SaaS,rep_25,Medium (30-60d),Medium Risk
D00178,82701,Lost,53.4,46.6,HealthTech,rep_11,Fast (0-30d),Medium Risk
D00179,54650,Lost,56.4,43.6,HealthTech,rep_7,Medium (30-60d),High Risk
D00180,11396,Lost,54.3,45.7,SaaS,rep_12,Medium (30-60d),Medium Risk
D00181,13654,Lost,56.0,44.0,FinTech,rep_10,Very Long (90-120d),High Risk
D00182,93664,Won,54.2,45.8,FinTech,rep_5,Long (60-90d),Medium Risk
D00183,8860,Won,55.0,45.0,Ecommerce,rep_23,Long (60-90d),Medium Risk
D00184,14666,Lost,54.6,45.4,EdTech,rep_25,Long (60-90d),Medium Risk
D00185,3902,Lost,53.6,46.4,FinTech,rep_6,Fast (0-30d),Medium Risk
D00186,59110,Lost,54.8,45.2,EdTech,rep_4,Very Long (90-120d),Medium Risk
D00187,11159,Lost,55.1,44.9,Ecommerce,rep_24,Very Long (90-120d),High Risk
D00188,4416,Won,53.6,46.4,Ecommerce,rep_21,Very Long (90-120d),Medium Risk
D00189,10303,Lost,55.3,44.7,EdTech,rep_1,Medium (30-60d),High Risk
D00190,4473,Lost,54.1,45.9,EdTech,rep_21,Medium (30-60d),Medium Risk
D00191,60760,Won,54.5,45.5,EdTech,rep_21,Medium (30-60d),Medium Risk
D00192,17924,Lost,52.8,47.2,SaaS,rep_16,Fast (0-30d),Medium Risk
D00193,4963,Lost,56.2,43.8,SaaS,rep_18,Long (60-90d),High Risk
D00194,46922,Lost,54.3,45.7,FinTech,rep_16,Medium (30-60d),Medium Risk
D00195,8945,Won,54.4,45.6,FinTech,rep_24,Long (60-90d),Medium Risk
D00196,65158,Lost,56.4,43.6,FinTech,rep_18,Medium (30-60d),High Risk
D00197,18510,Won,55.3,44.7,Ecommerce,rep_15,Medium (30-60d),High Risk
D00198,71518,Won,55.4,44.6,HealthTech,rep_24,Very Long (90-120d),High Risk
D00199,5474,Lost,55.3,44.7,EdTech,rep_15,Very Long (90-120d),High Risk
D00200,74950,Lost,54.8,45.2,HealthTech,rep_8,Very Long (90-120d),Medium Risk
D00201,12009,Lost,53.8,46.2,SaaS,rep_8,Long (60-90d),Medium Risk
D00202,61799,Won,55.2,44.8,EdTech,rep_25,Medium (30-60d),High Risk
D00203,27989,Won,54.7,45.3,HealthTech,rep_24,Long (60-90d),Medium Risk
D00204,14244,Lost,55.6,44.4,HealthTech,rep_14,Medium (30-60d),High Risk
D00205,12927,Lost,56.3,43.7,Ecommerce,rep_18,Long (60-90d),High Risk
D00206,18595,Won,55.2,44.8,SaaS,rep_3,Medium (30-60d),High Risk
D00207,44662,Lost,56.0,44.0,Ecommerce,rep_7,Very Long (90-120d),High Risk
D00208,51797,Lost,55.6,44.4,HealthTech,rep_23,Medium (30-60d),High Risk
D00209,18628,Won,54.6,45.4,SaaS,rep_12,Medium (30-60d),Medium Risk
D00210,11328,Lost,54.6,45.4,SaaS,rep_2,Very Long (90-120d),Medium Risk
D00211,17488,Lost,56.3,43.7,EdTech,rep_7,Medium (30-60d),High Risk
D00212,13530,Lost,54.7,45.3,HealthTech,rep_15,Long (60-90d),Medium Risk
D00213,27698,Lost,54.3,45.7,FinTech,rep_3,Long (60-90d),Medium Risk
D00214,7793,Won,54.8,45.2,EdTech,rep_15,Long (60-90d),Medium Risk
D00215,6359,Won,55.5,44.5,EdTech,rep_17,Long (60-90d),High Risk
D00216,2789,Won,53.3,46.7,SaaS,rep_20,Fast (0-30d),Medium Risk
D00217,5326,Won,55.6,44.4,FinTech,rep_10,Medium (30-60d),High Risk
D00218,21238,Lost,55.0,45.0,Ecommerce,rep_3,Medium (30-60d),Medium Risk
D00219,6326,Lost,54.7,45.3,EdTech,rep_16,Very Long (90-120d),Medium Risk
D00220,3469,Lost,54.4,45.6,Ecommerce,rep_5,Long (60-90d),Medium Risk
D00221,19092,Lost,55.4,44.6,HealthTech,rep_25,Medium (30-60d),High Risk
D00222,99320,Won,54.0,46.0,EdTech,rep_13,Fast (0-30d),Medium Risk
D00223,17060,Lost,56.1,43.9,SaaS,rep_22,Long (60-90d),High Risk
D00224,12390,Lost,55.3,44.7,Ecommerce,rep_24,Medium (30-60d),High Risk
D00225,5643,Lost,53.1,46.9,HealthTech,rep_3,Fast (0-30d),Medium Risk
D00226,98240,Won,53.6,46.4,FinTech,rep_13,Fast (0-30d),Medium Risk
D00227,94967,Lost,55.1,44.9,Ecommerce,rep_22,Fast (0-30d),High Risk
D00228,10739,Lost,56.1,43.9,Ecommerce,rep_10,Medium (30-60d),High Risk
D00229,18103,Lost,55.7,44.3,EdTech,rep_5,Very Long (90-120d),High Risk
D00230,15212,Won,54.5,45.5,EdTech,rep_5,Long (60-90d),Medium Risk
D00231,58200,Won,54.8,45.2,HealthTech,rep_19,Medium (30-60d),Medium Risk
D00232,46188,Won,55.4,44.6,SaaS,rep_6,Very Long (90-120d),High Risk
D00233,19351,Won,55.2,44.8,EdTech,rep_5,Medium (30-60d),High Risk
D00234,15357,Lost,54.7,45.3,SaaS,rep_13,Long (60-90d),Medium Risk
D00235,6398,Lost,56.6,43.4,EdTech,rep_22,Medium (30-60d),High Risk
D00236,5273,Lost,55.2,44.8,EdTech,rep_4,Long (60-90d),High Risk
D00237,7566,Won,55.4,44.6,Ecommerce,rep_1,Medium (30-60d),High Risk
D00238,10321,Lost,53.9,46.1,HealthTech,rep_15,Fast (0-30d),Medium Risk
D00239,13225,Lost,54.9,45.1,FinTech,rep_23,Long (60-90d),Medium Risk
D00240,42865,Won,54.6,45.4,SaaS,rep_11,Very Long (90-120d),Medium Risk
D00241,18493,Lost,55.9,44.1,SaaS,rep_24,Medium (30-60d),High Risk
D00242,28200,Lost,55.2,44.8,HealthTech,rep_18,Fast (0-30d),High Risk
D00243,61078,Won,53.2,46.8,Ecommerce,rep_20,Fast (0-30d),Medium Risk
D00244,58986,Lost,54.1,45.9,HealthTech,rep_3,Long (60-90d),Medium Risk
D00245,10316,Won,53.0,47.0,HealthTech,rep_20,Fast (0-30d),Medium Risk
D00246,7285,Lost,55.3,44.7,HealthTech,rep_10,Long (60-90d),High Risk
D00247,2078,Lost,54.5,45.5,SaaS,rep_18,Fast (0-30d),Medium Risk
D00248,30835,Lost,55.8,44.2,HealthTech,rep_25,Very Long (90-120d),High Risk
D00249,84921,Won,54.6,45.4,SaaS,rep_4,Long (60-90d),Medium Risk
D00250,7889,Lost,54.8,45.2,HealthTech,rep_4,Very Long (90-120d),Medium Risk
D00251,2712,Lost,55.4,44.6,SaaS,rep_24,Medium (30-60d),High Risk
D00252,27780,Won,56.3,43.7,EdTech,rep_18,Long (60-90d),High Risk
D00253,6214,Won,54.4,45.6,EdTech,rep_2,Long (60-90d),Medium Risk
D00254,19079,Lost,53.0,47.0,EdTech,rep_19,Fast (0-30d),Medium Risk
D00255,87582,Lost,55.3,44.7,EdTech,rep_23,Long (60-90d),High Risk
D00256,80089,Lost,53.2,46.8,SaaS,rep_3,Fast (0-30d),Medium Risk
D00257,64270,Lost,54.9,45.1,SaaS,rep_5,Medium (30-60d),Medium Risk
D00258,5764,Lost,53.2,46.8,FinTech,rep_15,Fast (0-30d),Medium Risk
D00259,9529,Won,55.3,44.7,HealthTech,rep_12,Medium (30-60d),High Risk
D00260,31953,Lost,55.5,44.5,HealthTech,rep_1,Very Long (90-120d),High Risk
D00261,21056,Lost,55.2,44.8,Ecommerce,rep_4,Medium (30-60d),High Risk
D00262,9690,Won,55.3,44.7,Ecommerce,rep_5,Medium (30-60d),High Risk
D00263,18649,Lost,55.0,45.0,HealthTech,rep_24,Long (60-90d),Medium Risk
D00264,36142,Won,54.4,45.6,Ecommerce,rep_12,Medium (30-60d),Medium Risk
D00265,98644,Won,54.8,45.2,FinTech,rep_10,Long (60-90d),Medium Risk
D00266,11921,Won,55.0,45.0,Ecommerce,rep_8,Medium (30-60d),Medium Risk
D00267,67895,Won,55.2,44.8,Ecommerce,rep_25,Medium (30-60d),High Risk
D00268,14520,Won,55.1,44.9,Ecommerce,rep_25,Medium (30-60d),High Risk
D00269,7046,Lost,54.5,45.5,SaaS,rep_3,Long (60-90d),Medium Risk
D00270,19158,Lost,54.6,45.4,HealthTech,rep_24,Long (60-90d),Medium Risk
D00271,60539,Lost,52.9,47.1,FinTech,rep_4,Fast (0-30d),Medium Risk
D00272,6284,Lost,55.0,45.0,EdTech,rep_5,Long (60-90d),Medium Risk
D00273,95582,Won,54.7,45.3,Ecommerce,rep_16,Long (60-90d),Medium Risk
D00274,33487,Won,54.3,45.7,SaaS,rep_8,Long (60-90d),Medium Risk
D00275,5137,Lost,53.6,46.4,Ecommerce,rep_23,Fast (0-30d),Medium Risk
D00276,2638,Won,55.6,44.4,FinTech,rep_22,Very Long (90-120d),High Risk
D00277,4312,Lost,53.4,46.6,FinTech,rep_15,Fast (0-30d),Medium Risk
D00278,11974,Won,54.4,45.6,HealthTech,rep_16,Very Long (90-120d),Medium Risk
D00279,18419,Won,54.0,46.0,Ecommerce,rep_25,Fast (0-30d),Medium Risk
D00280,2490,Won,55.3,44.7,SaaS,rep_8,Medium (30-60d),High Risk
D00281,37499,Won,54.3,45.7,SaaS,rep_3,Very Long (90-120d),Medium Risk
D00282,14438,Won,55.4,44.6,HealthTech,rep_9,Medium (30-60d),High Risk
D00283,9731,Lost,54.8,45.2,Ecommerce,rep_11,Very Long (90-120d),Medium Risk
D00284,5795,Lost,56.9,43.1,EdTech,rep_22,Medium (30-60d),High Risk
D00285,4914,Lost,53.9,46.1,HealthTech,rep_9,Fast (0-30d),Medium Risk
D00286,2775,Lost,55.0,45.0,FinTech,rep_1,Very Long (90-120d),Medium Risk
D00287,31015,Won,54.9,45.1,FinTech,rep_9,Medium (30-60d),Medium Risk
D00288,2753,Lost,54.3,45.7,HealthTech,rep_2,Long (60-90d),Medium Risk
D00289,5495,Won,53.7,46.3,EdTech,rep_9,Fast (0-30d),Medium Risk
D00290,12835,Lost,53.6,46.4,FinTech,rep_16,Long (60-90d),Medium Risk
D00291,6307,Won,55.5,44.5,EdTech,rep_23,Medium (30-60d),High Risk
D00292,5181,Lost,54.4,45.6,HealthTech,rep_20,Long (60-90d),Medium Risk
D00293,6784,Lost,55.9,44.1,HealthTech,rep_22,Long (60-90d),High Risk
D00294,5181,Lost,54.7,45.3,EdTech,rep_19,Medium (30-60d),Medium Risk
D00295,38625,Won,54.5,45.5,SaaS,rep_16,Very Long (90-120d),Medium Risk
D00296,22612,Won,53.7,46.3,EdTech,rep_1,Fast (0-30d),Medium Risk
D00297,4650,Lost,53.8,46.2,HealthTech,rep_23,Fast (0-30d),Medium Risk
D00298,7424,Lost,56.3,43.7,EdTech,rep_10,Medium (30-60d),High Risk
D00299,42833,Lost,54.6,45.4,SaaS,rep_23,Long (60-90d),Medium Risk
D00300,43292,Lost,55.9,44.1,SaaS,rep_23,Medium (30-60d),High Risk
D00301,7008,Won,54.7,45.3,EdTech,rep_5,Long (60-90d),Medium Risk
D00302,19615,Lost,54.2,45.8,HealthTech,rep_9,Fast (0-30d),Medium Risk
D00303,8020,Lost,55.3,44.7,Ecommerce,rep_24,Medium (30-60d),High Risk
D00304,95766,Lost,56.1,43.9,Ecommerce,rep_6,Medium (30-60d),High Risk
D00305,2857,Won,55.4,44.6,FinTech,rep_6,Medium (30-60d),High Risk
D00306,10703,Won,52.9,47.1,FinTech,rep_2,Fast (0-30d),Medium Risk
D00307,54768,Lost,55.9,44.1,HealthTech,rep_10,Very Long (90-120d),High Risk
D00308,3258,Lost,54.1,45.9,EdTech,rep_3,Long (60-90d),Medium Risk
D00309,4390,Won,56.0,44.0,Ecommerce,rep_13,Medium (30-60d),High Risk
D00310,14078,Lost,54.4,45.6,FinTech,rep_15,Long (60-90d),Medium Risk
D00311,39808,Lost,55.5,44.5,EdTech,rep_3,Medium (30-60d),High Risk
D00312,90190,Lost,52.7,47.3,HealthTech,rep_19,Fast (0-30d),Medium Risk
D00313,87740,Lost,54.3,45.7,FinTech,rep_5,Very Long (90-120d),Medium Risk
